day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_01_01,FADE_CALM,long,21280.25,-39.5,0.0,58,z_reversal,1735774500.0
2025_01_01,FADE_CALM,long,21273.0,-25.0,0.0,34,z_reversal,1735774620.0
2025_01_01,FADE_CALM,long,21257.5,6.0,22.5,23,z_reversal,1735774680.0
2025_01_01,FADE_CALM,short,21259.75,-15.5,3.0,88,max_bars,1735775400.0
2025_01_01,FADE_CALM,short,21265.0,-5.0,6.0,67,max_bars,1735775520.0
2025_01_02,FADE_CALM,long,21243.5,-17.0,0.0,68,mean_reached,1735776120.0
2025_01_02,FADE_CALM,long,21238.5,-7.0,0.0,56,mean_reached,1735776180.0
2025_01_02,FADE_CALM,long,21225.75,18.5,18.5,44,mean_reached,1735776240.0
2025_01_02,FADE_CALM,long,21172.25,-52.5,0.0,60,mean_reached,1735776960.0
2025_01_02,FADE_CALM,long,21138.0,16.0,29.0,48,mean_reached,1735777020.0
2025_01_02,FADE_CALM,short,21274.5,23.5,23.5,24,mean_reached,1735779720.0
2025_01_02,FADE_CALM,long,21270.0,16.5,16.5,24,mean_reached,1735781640.0
2025_01_02,FADE_CALM,short,21319.0,7.5,7.5,34,mean_reached,1735784820.0
2025_01_02,FADE_CALM,long,21323.5,0.0,0.0,45,mean_reached,1735786320.0
2025_01_02,FADE_CALM,long,21319.0,9.0,9.0,33,mean_reached,1735786380.0
2025_01_02,FADE_CALM,short,21320.5,-7.5,2.5,38,z_reversal,1735787940.0
2025_01_02,FADE_CALM,short,21328.5,-13.0,2.0,35,z_reversal,1735788240.0
2025_01_02,FADE_CALM,long,21325.25,-21.5,0.5,72,z_reversal,1735788720.0
2025_01_02,FADE_CALM,long,21298.25,18.0,18.0,43,z_reversal,1735789560.0
2025_01_02,FADE_CALM,short,21307.25,0.5,0.5,92,mean_reached,1735789800.0
2025_01_02,FADE_CALM,short,21309.75,5.5,5.5,82,mean_reached,1735789860.0
2025_01_02,FADE_CALM,long,21301.5,16.5,16.5,20,mean_reached,1735790700.0
2025_01_02,FADE_CALM,long,21291.75,8.0,8.0,34,mean_reached,1735791660.0
2025_01_02,FADE_CALM,short,21333.75,-10.0,0.0,57,mean_reached,1735794660.0
2025_01_02,FADE_CALM,short,21340.25,3.0,4.0,34,mean_reached,1735794780.0
2025_01_02,FADE_CALM,short,21352.25,5.0,5.0,24,mean_reached,1735795080.0
2025_01_02,FADE_CALM,short,21358.75,-1.0,11.0,31,z_reversal,1735796220.0
2025_01_02,FADE_CALM,short,21381.5,10.0,10.0,21,mean_reached,1735798740.0
2025_01_02,FADE_CALM,long,21369.25,1.5,1.5,46,mean_reached,1735799220.0
2025_01_02,FADE_CALM,long,21358.5,23.0,23.0,35,mean_reached,1735799280.0
2025_01_02,FADE_CALM,long,21383.75,17.0,17.0,44,mean_reached,1735801440.0
2025_01_02,FADE_CALM,long,21383.75,17.0,17.0,33,mean_reached,1735801500.0
2025_01_02,FADE_CALM,long,21364.75,11.0,11.0,21,mean_reached,1735803180.0
2025_01_02,FADE_CALM,long,21350.5,8.0,9.0,46,mean_reached,1735803900.0
2025_01_02,FADE_CALM,short,21377.25,-42.0,0.0,84,mean_reached,1735804860.0
2025_01_02,FADE_CALM,short,21388.75,-19.0,7.0,72,mean_reached,1735804920.0
2025_01_02,FADE_CALM,long,21401.5,-2.0,11.0,48,z_reversal,1735805760.0
2025_01_02,FADE_CALM,long,21395.25,10.5,23.5,36,z_reversal,1735805820.0
2025_01_02,FADE_CALM,long,21383.0,-68.5,1.0,60,z_reversal,1735806180.0
2025_01_02,FADE_CALM,long,21367.0,-36.5,0.0,36,z_reversal,1735806300.0
2025_01_02,FADE_CALM,short,21366.0,36.5,36.5,24,mean_reached,1735807320.0
2025_01_02,FADE_CALM,long,21354.0,58.5,58.5,48,z_reversal,1735808580.0
2025_01_02,FADE_CALM,long,21381.5,25.5,25.5,23,mean_reached,1735810020.0
2025_01_02,FADE_CALM,long,21380.75,25.5,25.5,35,mean_reached,1735812360.0
2025_01_02,FADE_CALM,short,21386.0,-3.0,10.0,42,z_reversal,1735813080.0
2025_01_02,FADE_CALM,long,21380.75,18.0,18.0,68,z_reversal,1735815060.0
2025_01_02,FADE_CALM,long,21371.25,37.0,37.0,56,z_reversal,1735815120.0
2025_01_02,FADE_CALM,long,21392.5,-10.5,0.5,34,z_reversal,1735817400.0
2025_01_02,FADE_CALM,short,21404.0,-31.5,0.0,46,z_reversal,1735817880.0
2025_01_02,FADE_CALM,short,21419.75,-44.0,2.5,83,mean_reached,1735818120.0
2025_01_02,FADE_CALM,long,21433.75,35.0,35.0,47,mean_reached,1735818720.0
2025_01_02,FADE_CALM,long,21473.5,3.0,11.0,34,z_reversal,1735820580.0
2025_01_02,FADE_CALM,long,21458.75,-28.0,0.0,84,mean_reached,1735821660.0
2025_01_02,FADE_CALM,long,21452.5,-15.5,0.0,72,mean_reached,1735821720.0
2025_01_02,FADE_CALM,long,21448.0,-6.5,9.0,60,mean_reached,1735821780.0
2025_01_02,FADE_CALM,long,21415.75,15.5,15.5,12,mean_reached,1735824000.0
2025_01_02,FADE_CALM,short,21434.5,20.5,20.5,24,mean_reached,1735824120.0
2025_01_02,FADE_CALM,short,21435.0,6.0,6.0,48,mean_reached,1735824720.0
2025_01_02,FADE_CALM,long,21444.5,-49.0,0.0,60,z_reversal,1735825500.0
2025_01_02,FADE_CALM,long,21437.25,-34.5,12.0,48,z_reversal,1735825560.0
2025_01_02,FADE_CALM,long,21285.25,-161.0,0.0,60,hard_stop,1735828380.0
2025_01_02,FADE_CALM,long,21266.75,-180.0,0.0,60,hard_stop,1735828440.0
2025_01_02,FADE_CALM,long,21225.25,-65.0,0.0,60,mean_reached,1735828500.0
2025_01_02,FADE_CALM,long,21381.25,94.5,94.5,96,mean_reached,1735830120.0
2025_01_02,FADE_CALM,long,21376.75,103.5,103.5,84,mean_reached,1735830180.0
2025_01_02,FADE_CALM,long,21390.25,-173.5,8.0,48,hard_stop,1735831020.0
2025_01_02,FADE_CALM,long,21359.0,-153.5,0.0,36,hard_stop,1735831140.0
2025_01_02,FADE_CALM,long,21323.75,-57.0,0.0,60,mean_reached,1735831200.0
2025_01_02,FADE_CALM,long,21303.5,-16.5,0.0,48,mean_reached,1735831260.0
2025_01_02,FADE_CALM,short,21273.0,-16.0,0.0,60,mean_reached,1735832880.0
2025_01_02,FADE_CALM,short,21294.0,26.0,26.0,48,mean_reached,1735832940.0
2025_01_02,FADE_CALM,long,21240.0,-47.0,0.0,60,mean_reached,1735833720.0
2025_01_02,FADE_CALM,long,21218.5,-4.0,9.0,48,mean_reached,1735833780.0
2025_01_02,FADE_CALM,short,21340.25,-30.5,0.0,36,z_reversal,1735836480.0
2025_01_02,FADE_CALM,short,21339.0,71.0,71.0,48,mean_reached,1735837980.0
2025_01_02,FADE_CALM,short,21056.25,55.0,110.5,84,giveback,1735839780.0
2025_01_02,FADE_CALM,short,21052.75,-41.0,15.5,60,z_reversal,1735840260.0
2025_01_02,FADE_CALM,short,21061.5,-23.5,33.0,36,giveback,1735840380.0
2025_01_02,FADE_CALM,long,21000.25,78.5,78.5,60,z_reversal,1735842660.0
2025_01_02,FADE_CALM,short,21064.25,35.5,35.5,36,mean_reached,1735843440.0
2025_01_02,FADE_CALM,long,21069.25,49.5,49.5,24,mean_reached,1735846500.0
2025_01_02,FADE_CALM,long,21081.75,23.0,23.0,60,mean_reached,1735847820.0
2025_01_02,FADE_CALM,short,21186.75,36.5,36.5,24,mean_reached,1735849860.0
2025_01_02,FADE_CALM,long,21138.0,7.0,7.0,60,mean_reached,1735850100.0
2025_01_02,FADE_CALM,long,21191.25,-11.0,3.5,33,z_reversal,1735853520.0
2025_01_02,FADE_CALM,short,21185.25,0.5,4.5,19,z_reversal,1735855080.0
2025_01_02,FADE_CALM,long,21167.5,-6.5,2.0,23,z_reversal,1735859100.0
2025_01_02,FADE_CALM,short,21164.0,11.5,11.5,11,mean_reached,1735862100.0
2025_01_03,FADE_CALM,long,21197.25,44.5,44.5,75,z_reversal,1735863600.0
2025_01_03,FADE_CALM,long,21226.25,26.0,26.0,24,z_reversal,1735865400.0
2025_01_03,FADE_CALM,short,21245.5,8.0,8.0,67,mean_reached,1735866420.0
2025_01_03,FADE_CALM,short,21225.75,-5.5,3.5,42,z_reversal,1735867980.0
2025_01_03,FADE_CALM,short,21230.5,4.0,13.0,32,z_reversal,1735868040.0
2025_01_03,FADE_CALM,long,21206.25,22.0,22.5,35,mean_reached,1735868700.0
2025_01_03,FADE_CALM,long,21244.0,-23.0,0.0,86,mean_reached,1735871280.0
2025_01_03,FADE_CALM,long,21239.5,-14.0,0.0,64,mean_reached,1735871400.0
2025_01_03,FADE_CALM,long,21234.0,-3.0,0.0,53,mean_reached,1735871460.0
2025_01_03,FADE_CALM,long,21229.5,6.0,6.0,41,mean_reached,1735871520.0
2025_01_03,FADE_CALM,long,21222.25,16.0,20.0,31,mean_reached,1735872720.0
2025_01_03,FADE_CALM,long,21250.0,-7.0,3.0,32,z_reversal,1735874280.0
2025_01_03,FADE_CALM,short,21253.75,4.0,7.0,18,z_reversal,1735876800.0
2025_01_03,FADE_CALM,long,21231.25,5.0,5.0,30,mean_reached,1735879260.0
2025_01_03,FADE_CALM,long,21225.0,5.0,5.0,34,mean_reached,1735882860.0
2025_01_03,FADE_CALM,long,21224.25,6.5,6.5,24,mean_reached,1735882920.0
2025_01_03,FADE_CALM,long,21219.75,12.5,12.5,10,mean_reached,1735884660.0
2025_01_03,FADE_CALM,long,21237.75,-5.5,13.0,52,z_reversal,1735887480.0
2025_01_03,FADE_CALM,long,21231.0,1.0,1.0,33,mean_reached,1735887840.0
2025_01_03,FADE_CALM,long,21226.0,11.0,11.0,22,mean_reached,1735887900.0
2025_01_03,FADE_CALM,long,21242.25,7.0,10.5,27,z_reversal,1735890960.0
2025_01_03,FADE_CALM,short,21260.25,3.5,3.5,36,mean_reached,1735891200.0
2025_01_03,FADE_CALM,short,21264.5,12.0,12.0,24,mean_reached,1735891260.0
2025_01_03,FADE_CALM,short,21230.25,21.0,21.0,36,mean_reached,1735893240.0
2025_01_03,FADE_CALM,long,21267.5,32.0,32.0,36,mean_reached,1735895940.0
2025_01_03,FADE_CALM,long,21266.75,9.0,10.0,56,mean_reached,1735896660.0
2025_01_03,FADE_CALM,long,21242.75,15.0,15.0,12,mean_reached,1735899960.0
2025_01_03,FADE_CALM,long,21243.5,5.0,5.0,52,mean_reached,1735903800.0
2025_01_03,FADE_CALM,long,21241.75,8.5,8.5,42,mean_reached,1735903860.0
2025_01_03,FADE_CALM,long,21239.0,14.0,14.0,23,mean_reached,1735905000.0
2025_01_03,FADE_CALM,long,21223.25,9.5,21.0,47,mean_reached,1735905900.0
2025_01_03,FADE_CALM,short,21237.75,22.0,22.0,31,mean_reached,1735906320.0
2025_01_03,FADE_CALM,short,21239.0,-4.0,4.0,68,mean_reached,1735908600.0
2025_01_03,FADE_CALM,short,21257.75,0.0,0.0,36,mean_reached,1735909380.0
2025_01_03,FADE_CALM,short,21263.25,11.0,11.0,12,mean_reached,1735909500.0
2025_01_03,FADE_CALM,short,21258.5,0.0,12.0,46,z_reversal,1735910640.0
2025_01_03,FADE_CALM,short,21269.75,-4.0,0.0,47,mean_reached,1735911120.0
2025_01_03,FADE_CALM,long,21372.0,-108.0,19.0,48,z_reversal,1735915620.0
2025_01_03,FADE_CALM,long,21364.75,-93.5,33.5,36,giveback,1735915680.0
2025_01_03,FADE_CALM,long,21318.0,90.0,90.0,48,mean_reached,1735915860.0
2025_01_03,FADE_CALM,short,21322.25,-46.0,0.0,108,z_reversal,1735917840.0
2025_01_03,FADE_CALM,short,21325.0,-40.5,4.0,96,z_reversal,1735917900.0
2025_01_03,FADE_CALM,long,21464.25,32.0,32.0,24,mean_reached,1735923540.0
2025_01_03,FADE_CALM,long,21453.5,38.0,38.0,12,mean_reached,1735924440.0
2025_01_03,FADE_CALM,long,21452.25,11.5,18.0,24,z_reversal,1735927260.0
2025_01_03,FADE_CALM,short,21506.25,1.0,1.0,24,mean_reached,1735929000.0
2025_01_03,FADE_CALM,short,21514.75,18.0,18.0,12,mean_reached,1735929060.0
2025_01_03,FADE_CALM,long,21514.75,22.5,22.5,48,mean_reached,1735930200.0
2025_01_03,FADE_CALM,long,21508.75,12.0,13.5,24,mean_reached,1735930740.0
2025_01_03,FADE_CALM,long,21533.0,7.5,9.0,72,mean_reached,1735932240.0
2025_01_03,FADE_CALM,long,21530.75,12.0,13.5,60,mean_reached,1735932300.0
2025_01_03,FADE_CALM,long,21547.25,-9.0,9.5,36,z_reversal,1735933440.0
2025_01_03,FADE_CALM,long,21547.75,-10.0,8.5,24,z_reversal,1735933500.0
2025_01_03,FADE_CALM,long,21542.75,-10.5,6.0,48,z_reversal,1735933620.0
2025_01_03,FADE_CALM,long,21482.25,22.5,22.5,24,mean_reached,1735937400.0
2025_01_03,FADE_CALM,short,21503.75,-4.5,0.0,72,mean_reached,1735937640.0
2025_01_03,FADE_CALM,short,21513.75,15.5,15.5,60,mean_reached,1735937700.0
2025_01_03,FADE_CALM,short,21513.75,15.5,15.5,48,mean_reached,1735937760.0
2025_01_03,FADE_CALM,short,21489.0,1.0,8.0,24,z_reversal,1735939920.0
2025_01_03,FADE_CALM,short,21488.75,-1.0,2.0,22,z_reversal,1735941360.0
2025_01_06,FADE_CALM,short,21504.75,9.0,13.0,43,z_reversal,1736122980.0
2025_01_06,FADE_CALM,short,21505.75,11.0,15.0,33,z_reversal,1736123040.0
2025_01_06,FADE_CALM,short,21494.25,-7.0,4.0,22,z_reversal,1736124480.0
2025_01_06,FADE_CALM,long,21491.25,13.5,13.5,53,z_reversal,1736125560.0
2025_01_06,FADE_CALM,long,21514.0,-12.5,2.5,92,mean_reached,1736130180.0
2025_01_06,FADE_CALM,long,21510.75,-6.0,0.0,63,mean_reached,1736130360.0
2025_01_06,FADE_CALM,long,21502.75,10.0,10.0,33,mean_reached,1736130540.0
2025_01_06,FADE_CALM,long,21503.75,8.0,8.0,23,mean_reached,1736132880.0
2025_01_06,FADE_CALM,long,21506.25,9.5,9.5,25,z_reversal,1736136900.0
2025_01_06,FADE_CALM,short,21525.25,6.5,6.5,26,mean_reached,1736139600.0
2025_01_06,FADE_CALM,long,21523.0,9.0,9.0,11,mean_reached,1736140740.0
2025_01_06,FADE_CALM,long,21546.5,-6.5,1.0,43,z_reversal,1736141820.0
2025_01_06,FADE_CALM,short,21541.0,1.0,3.5,21,z_reversal,1736142660.0
2025_01_06,FADE_CALM,long,21533.0,-1.0,0.5,33,mean_reached,1736143620.0
2025_01_06,FADE_CALM,long,21569.5,8.0,8.0,49,mean_reached,1736149140.0
2025_01_06,FADE_CALM,long,21568.5,10.0,10.0,37,mean_reached,1736149200.0
2025_01_06,FADE_CALM,long,21586.75,-6.0,0.0,60,mean_reached,1736151420.0
2025_01_06,FADE_CALM,long,21578.25,11.0,11.0,48,mean_reached,1736151480.0
2025_01_06,FADE_CALM,long,21574.0,19.5,19.5,36,mean_reached,1736151540.0
2025_01_06,FADE_CALM,long,21661.25,5.0,5.0,46,mean_reached,1736157660.0
2025_01_06,FADE_CALM,long,21657.5,12.5,12.5,35,mean_reached,1736157720.0
2025_01_06,FADE_CALM,long,21678.5,-18.0,8.0,45,z_reversal,1736159160.0
2025_01_06,FADE_CALM,long,21678.0,-17.0,9.0,33,z_reversal,1736159220.0
2025_01_06,FADE_CALM,long,21669.5,-3.0,9.5,36,z_reversal,1736159400.0
2025_01_06,FADE_CALM,short,21682.75,17.5,17.5,44,mean_reached,1736160000.0
2025_01_06,FADE_CALM,long,21722.75,-17.5,3.5,48,z_reversal,1736165280.0
2025_01_06,FADE_CALM,long,21736.75,-3.5,3.5,96,mean_reached,1736168100.0
2025_01_06,FADE_CALM,long,21724.25,-2.5,0.0,59,mean_reached,1736170740.0
2025_01_06,FADE_CALM,long,21716.75,12.5,12.5,36,mean_reached,1736170860.0
2025_01_06,FADE_CALM,long,21737.5,9.0,9.0,84,z_reversal,1736172240.0
2025_01_06,FADE_CALM,long,21733.0,18.0,18.0,72,z_reversal,1736172300.0
2025_01_06,FADE_CALM,long,21793.5,61.0,61.0,24,mean_reached,1736174640.0
2025_01_06,FADE_CALM,long,21810.0,6.5,17.5,24,z_reversal,1736175000.0
2025_01_06,FADE_CALM,long,21799.25,39.0,39.0,24,mean_reached,1736175420.0
2025_01_06,FADE_CALM,long,21859.75,-3.0,18.5,36,z_reversal,1736177460.0
2025_01_06,FADE_CALM,short,21886.5,11.0,11.0,36,mean_reached,1736179560.0
2025_01_06,FADE_CALM,short,21889.25,17.0,17.0,60,mean_reached,1736180880.0
2025_01_06,FADE_CALM,short,21864.25,15.0,15.0,48,mean_reached,1736182260.0
2025_01_06,FADE_CALM,long,21838.5,26.0,26.0,24,mean_reached,1736182800.0
2025_01_06,FADE_CALM,short,21832.25,6.0,10.0,36,z_reversal,1736184780.0
2025_01_06,FADE_CALM,long,21724.25,-9.5,11.5,60,z_reversal,1736195880.0
2025_01_06,FADE_CALM,long,21718.0,3.0,24.0,48,z_reversal,1736195940.0
2025_01_06,FADE_CALM,long,21680.25,82.0,119.0,96,mean_reached,1736196540.0
2025_01_06,FADE_CALM,long,21778.0,6.0,6.0,32,mean_reached,1736200560.0
2025_01_06,FADE_CALM,long,21777.5,7.0,7.0,24,mean_reached,1736200620.0
2025_01_06,FADE_CALM,long,21775.25,11.5,11.5,12,mean_reached,1736200680.0
2025_01_06,FADE_CALM,short,21793.0,12.0,12.0,44,mean_reached,1736204460.0
2025_01_07,FADE_CALM,short,21767.75,-6.5,1.0,49,z_reversal,1736208600.0
2025_01_07,FADE_CALM,short,21771.0,-12.0,0.0,75,mean_reached,1736209920.0
2025_01_07,FADE_CALM,short,21774.25,-5.5,0.0,64,mean_reached,1736209980.0
2025_01_07,FADE_CALM,short,21780.75,0.0,0.0,34,mean_reached,1736216460.0
2025_01_07,FADE_CALM,short,21783.75,6.0,6.0,23,mean_reached,1736216520.0
2025_01_07,FADE_CALM,long,21719.5,15.0,15.0,24,mean_reached,1736218800.0
2025_01_07,FADE_CALM,long,21738.5,-1.0,2.0,82,mean_reached,1736221200.0
2025_01_07,FADE_CALM,short,21742.0,-8.5,0.0,61,mean_reached,1736221980.0
2025_01_07,FADE_CALM,short,21707.5,9.5,10.5,34,mean_reached,1736229060.0
2025_01_07,FADE_CALM,long,21688.75,15.0,15.0,11,mean_reached,1736232000.0
2025_01_07,FADE_CALM,short,21704.25,14.5,14.5,52,mean_reached,1736232240.0
2025_01_07,FADE_CALM,long,21713.0,19.0,19.0,66,mean_reached,1736234100.0
2025_01_07,FADE_CALM,long,21715.5,14.0,14.0,54,mean_reached,1736234160.0
2025_01_07,FADE_CALM,long,21709.25,4.0,4.0,30,mean_reached,1736234760.0
2025_01_07,FADE_CALM,long,21724.5,18.0,18.0,48,mean_reached,1736236800.0
2025_01_07,FADE_CALM,long,21723.75,16.0,16.0,24,mean_reached,1736237220.0
2025_01_07,FADE_CALM,long,21719.5,1.0,1.0,34,mean_reached,1736237580.0
2025_01_07,FADE_CALM,long,21714.25,11.5,11.5,24,mean_reached,1736237640.0
2025_01_07,FADE_CALM,long,21757.5,-13.5,0.0,79,mean_reached,1736239800.0
2025_01_07,FADE_CALM,long,21748.75,4.0,4.5,56,mean_reached,1736239920.0
2025_01_07,FADE_CALM,long,21744.75,12.0,12.0,34,mean_reached,1736240040.0
2025_01_07,FADE_CALM,short,21767.25,14.0,14.0,23,mean_reached,1736242680.0
2025_01_07,FADE_CALM,long,21760.0,4.5,4.5,52,mean_reached,1736245500.0
2025_01_07,FADE_CALM,long,21762.5,-0.5,0.0,52,mean_reached,1736246700.0
2025_01_07,FADE_CALM,long,21758.75,7.0,7.0,44,mean_reached,1736246760.0
2025_01_07,FADE_CALM,long,21753.75,17.0,17.0,22,mean_reached,1736246880.0
2025_01_07,FADE_CALM,short,21736.0,19.5,24.5,36,mean_reached,1736251140.0
2025_01_07,FADE_CALM,long,21746.5,15.5,15.5,33,mean_reached,1736253960.0
2025_01_07,FADE_CALM,long,21747.0,2.0,2.0,60,mean_reached,1736254560.0
2025_01_07,FADE_CALM,long,21741.25,13.5,13.5,48,mean_reached,1736254620.0
2025_01_07,FADE_CALM,short,21791.25,2.0,2.0,36,mean_reached,1736258460.0
2025_01_07,FADE_CALM,short,21792.5,11.0,11.0,36,mean_reached,1736260080.0
2025_01_07,FADE_CALM,short,21765.75,14.0,14.0,60,mean_reached,1736261040.0
2025_01_07,FADE_CALM,short,21778.5,39.5,39.5,48,mean_reached,1736261100.0
2025_01_07,FADE_CALM,short,21602.5,134.5,134.5,60,mean_reached,1736262720.0
2025_01_07,FADE_CALM,short,21593.75,-54.0,20.0,48,z_reversal,1736263260.0
2025_01_07,FADE_CALM,long,21437.25,-48.0,0.5,72,z_reversal,1736270520.0
2025_01_07,FADE_CALM,short,21448.25,8.5,15.5,36,z_reversal,1736275620.0
2025_01_07,FADE_CALM,short,21450.75,11.0,11.0,24,mean_reached,1736276460.0
2025_01_07,FADE_CALM,short,21459.0,27.5,27.5,12,mean_reached,1736276520.0
2025_01_07,FADE_CALM,short,21437.5,24.5,24.5,36,mean_reached,1736279040.0
2025_01_07,FADE_CALM,short,21445.25,40.0,40.0,24,mean_reached,1736279100.0
2025_01_07,FADE_CALM,long,21285.5,80.0,80.0,48,z_reversal,1736282100.0
2025_01_07,FADE_CALM,short,21325.5,10.5,10.5,60,mean_reached,1736282340.0
2025_01_07,FADE_CALM,short,21348.25,56.0,56.0,48,mean_reached,1736282400.0
2025_01_07,FADE_CALM,short,21349.5,58.5,58.5,36,mean_reached,1736282460.0
2025_01_07,FADE_CALM,long,21381.75,6.0,8.0,59,mean_reached,1736284800.0
2025_01_07,FADE_CALM,long,21379.75,10.0,12.0,47,mean_reached,1736284860.0
2025_01_07,FADE_CALM,long,21371.75,3.5,3.5,47,mean_reached,1736286720.0
2025_01_07,FADE_CALM,long,21370.75,5.5,5.5,35,mean_reached,1736286780.0
2025_01_07,FADE_CALM,long,21344.75,10.5,10.5,24,mean_reached,1736291220.0
2025_01_08,FADE_CALM,long,21393.0,20.0,20.0,74,z_reversal,1736294640.0
2025_01_08,FADE_CALM,long,21392.25,21.5,21.5,62,z_reversal,1736294700.0
2025_01_08,FADE_CALM,short,21413.0,7.5,12.0,34,mean_reached,1736296800.0
2025_01_08,FADE_CALM,long,21405.75,-0.5,0.0,61,mean_reached,1736297400.0
2025_01_08,FADE_CALM,long,21402.0,7.0,7.0,50,mean_reached,1736297460.0
2025_01_08,FADE_CALM,long,21416.25,19.0,19.0,34,mean_reached,1736300520.0
2025_01_08,FADE_CALM,short,21404.5,7.0,7.0,53,mean_reached,1736306280.0
2025_01_08,FADE_CALM,short,21406.5,11.0,11.0,41,mean_reached,1736306340.0
2025_01_08,FADE_CALM,short,21416.75,6.0,6.0,16,mean_reached,1736310720.0
2025_01_08,FADE_CALM,long,21408.25,-1.5,1.0,51,z_reversal,1736314200.0
2025_01_08,FADE_CALM,long,21363.0,19.5,19.5,35,z_reversal,1736320920.0
2025_01_08,FADE_CALM,long,21391.0,-10.0,0.0,69,z_reversal,1736323380.0
2025_01_08,FADE_CALM,long,21386.0,0.0,7.5,57,z_reversal,1736323440.0
2025_01_08,FADE_CALM,long,21394.5,13.5,13.5,57,mean_reached,1736324760.0
2025_01_08,FADE_CALM,long,21422.0,17.5,17.5,31,mean_reached,1736327700.0
2025_01_08,FADE_CALM,long,21428.5,6.0,6.0,55,mean_reached,1736332320.0
2025_01_08,FADE_CALM,long,21427.25,8.5,8.5,43,mean_reached,1736332380.0
2025_01_08,FADE_CALM,short,21332.0,-20.5,20.5,36,z_reversal,1736336700.0
2025_01_08,FADE_CALM,short,21253.75,-32.5,0.0,72,mean_reached,1736339700.0
2025_01_08,FADE_CALM,short,21257.75,-24.5,0.0,60,mean_reached,1736339760.0
2025_01_08,FADE_CALM,short,21275.75,11.5,11.5,48,mean_reached,1736339820.0
2025_01_08,FADE_CALM,short,21291.75,43.5,43.5,36,mean_reached,1736339880.0
2025_01_08,FADE_CALM,long,21347.0,-21.5,2.0,48,z_reversal,1736343180.0
2025_01_08,FADE_CALM,long,21326.5,19.5,43.0,36,giveback,1736343240.0
2025_01_08,FADE_CALM,short,21352.25,-18.0,16.0,36,z_reversal,1736346300.0
2025_01_08,FADE_CALM,short,21361.25,-5.0,54.0,36,giveback,1736346480.0
2025_01_08,FADE_CALM,long,21322.0,-9.0,17.5,24,z_reversal,1736352120.0
2025_01_08,FADE_CALM,long,21394.75,-13.0,0.0,84,mean_reached,1736354940.0
2025_01_08,FADE_CALM,short,21288.5,98.0,98.0,36,z_reversal,1736356800.0
2025_01_08,FADE_CALM,long,21361.75,32.5,32.5,36,mean_reached,1736361180.0
2025_01_08,FADE_CALM,long,21294.25,16.5,16.5,36,mean_reached,1736362380.0
2025_01_08,FADE_CALM,long,21374.0,-56.0,0.0,60,z_reversal,1736364660.0
2025_01_08,FADE_CALM,long,21366.0,-40.0,10.5,48,z_reversal,1736364720.0
2025_01_08,FADE_CALM,long,21327.0,9.5,18.5,24,z_reversal,1736366820.0
2025_01_08,FADE_CALM,long,21317.75,21.0,21.0,24,mean_reached,1736368680.0
2025_01_08,FADE_CALM,short,21385.75,49.5,49.5,48,z_reversal,1736370000.0
2025_01_08,FADE_CALM,short,21335.0,-5.5,0.0,66,mean_reached,1736377800.0
2025_01_08,FADE_CALM,short,21338.5,1.5,3.0,54,mean_reached,1736377860.0
2025_01_08,FADE_CALM,short,21340.25,5.0,6.5,43,mean_reached,1736377920.0
2025_01_09,FADE_CALM,short,21281.75,-38.5,0.0,122,mean_reached,1736383320.0
2025_01_09,FADE_CALM,long,21301.75,20.0,20.0,23,mean_reached,1736384400.0
2025_01_09,FADE_CALM,long,21306.5,11.5,11.5,43,mean_reached,1736384820.0
2025_01_09,FADE_CALM,long,21312.0,13.5,13.5,38,mean_reached,1736387160.0
2025_01_09,FADE_CALM,short,21337.0,11.5,11.5,16,mean_reached,1736393340.0
2025_01_09,FADE_CALM,short,21342.5,10.0,10.0,20,mean_reached,1736393760.0
2025_01_09,FADE_CALM,short,21317.25,32.0,32.0,58,z_reversal,1736395260.0
2025_01_09,FADE_CALM,short,21303.5,-2.0,4.0,41,z_reversal,1736396940.0
2025_01_09,FADE_CALM,long,21302.25,5.0,5.0,34,mean_reached,1736397900.0
2025_01_09,FADE_CALM,long,21304.5,14.5,14.5,35,mean_reached,1736398800.0
2025_01_09,FADE_CALM,long,21314.75,-7.5,0.0,51,mean_reached,1736400360.0
2025_01_09,FADE_CALM,long,21309.5,3.0,6.0,40,mean_reached,1736400420.0
2025_01_09,FADE_CALM,short,21319.0,-5.0,0.0,59,mean_reached,1736404080.0
2025_01_09,FADE_CALM,long,21308.25,11.0,11.0,29,mean_reached,1736406000.0
2025_01_09,FADE_CALM,short,21316.0,12.0,12.0,18,mean_reached,1736406660.0
2025_01_09,FADE_CALM,short,21275.5,10.0,13.0,44,z_reversal,1736407980.0
2025_01_09,FADE_CALM,short,21266.75,27.5,27.5,42,mean_reached,1736409060.0
2025_01_09,FADE_CALM,long,21225.75,17.5,17.5,12,mean_reached,1736409840.0
2025_01_09,FADE_CALM,long,21284.0,22.5,22.5,35,mean_reached,1736412480.0
2025_01_09,FADE_CALM,long,21295.25,7.5,7.5,43,mean_reached,1736416260.0
2025_01_09,FADE_CALM,long,21319.25,6.0,6.0,65,mean_reached,1736418000.0
2025_01_09,FADE_CALM,long,21319.25,0.5,8.5,22,z_reversal,1736419320.0
2025_01_09,FADE_CALM,short,21301.25,-7.0,12.5,90,mean_reached,1736421300.0
