trade_id,direction,start_idx,end_idx,ts_start,ts_end,entry_price,exit_price,change_ticks,change_dollars,mfe_ticks,mae_ticks,mfe_dollars,mae_dollars,duration_mins,time_to_mfe_mins,n_bars,lookback_bars,lookback_start_idx,lookback_timestamps,regime_start_idx
0,LONG,0,10,1735862400.0,1735863000.0,21161.5,21199.25,151.0,75.5,135.0,30.0,67.5,15.0,10.0,8.5,11,10,0,[],0
1,LONG,10,16,1735863000.0,1735863360.0,21199.25,21208.5,37.0,18.5,58.0,2.0,29.0,1.0,6.0,4.1,7,10,0,"[1735862400.0, 1735862460.0, 1735862520.0, 1735862580.0, 1735862640.0, 1735862700.0, 1735862760.0, 1735862820.0, 1735862880.0, 1735862940.0]",10
2,SHORT,16,21,1735863360.0,1735863660.0,21208.5,21195.5,-52.0,-26.0,24.0,33.0,12.0,16.5,5.0,5.0,6,10,6,"[1735862760.0, 1735862820.0, 1735862880.0, 1735862940.0, 1735863000.0, 1735863060.0, 1735863120.0, 1735863180.0, 1735863240.0, 1735863300.0]",16
3,LONG,21,40,1735863660.0,1735864800.0,21195.5,21237.25,167.0,83.5,156.0,19.0,78.0,9.5,19.0,17.4,20,10,11,"[1735863060.0, 1735863120.0, 1735863180.0, 1735863240.0, 1735863300.0, 1735863360.0, 1735863420.0, 1735863480.0, 1735863540.0, 1735863600.0]",21
4,SHORT,40,50,1735864800.0,1735865400.0,21237.25,21227.0,-41.0,-20.5,22.0,18.0,11.0,9.0,10.0,4.3,11,10,30,"[1735864200.0, 1735864260.0, 1735864320.0, 1735864380.0, 1735864440.0, 1735864500.0, 1735864560.0, 1735864620.0, 1735864680.0, 1735864740.0]",40
5,LONG,50,52,1735865400.0,1735865520.0,21227.0,21239.25,49.0,24.5,4.0,2.0,2.0,1.0,2.0,0.2,3,10,40,"[1735864800.0, 1735864860.0, 1735864920.0, 1735864980.0, 1735865040.0, 1735865100.0, 1735865160.0, 1735865220.0, 1735865280.0, 1735865340.0]",50
6,SHORT,52,63,1735865520.0,1735866180.0,21239.25,21231.5,-31.0,-15.5,9.0,30.0,4.5,15.0,11.0,10.8,12,10,42,"[1735864920.0, 1735864980.0, 1735865040.0, 1735865100.0, 1735865160.0, 1735865220.0, 1735865280.0, 1735865340.0, 1735865400.0, 1735865460.0]",52
7,LONG,63,67,1735866180.0,1735866420.0,21231.5,21245.75,57.0,28.5,18.0,5.0,9.0,2.5,4.0,3.3,5,10,53,"[1735865580.0, 1735865640.0, 1735865700.0, 1735865760.0, 1735865820.0, 1735865880.0, 1735865940.0, 1735866000.0, 1735866060.0, 1735866120.0]",63
8,SHORT,67,75,1735866420.0,1735866900.0,21245.75,21237.0,-35.0,-17.5,2.0,0.0,1.0,0.0,8.0,0.1,9,10,57,"[1735865820.0, 1735865880.0, 1735865940.0, 1735866000.0, 1735866060.0, 1735866120.0, 1735866180.0, 1735866240.0, 1735866300.0, 1735866360.0]",67
9,SHORT,75,86,1735866900.0,1735867560.0,21237.0,21220.25,-67.0,-33.5,77.0,8.0,38.5,4.0,11.0,10.8,12,10,65,"[1735866300.0, 1735866360.0, 1735866420.0, 1735866480.0, 1735866540.0, 1735866600.0, 1735866660.0, 1735866720.0, 1735866780.0, 1735866840.0]",75
10,LONG,86,89,1735867560.0,1735867740.0,21220.25,21225.0,19.0,9.5,27.0,14.0,13.5,7.0,3.0,2.4,4,10,76,"[1735866960.0, 1735867020.0, 1735867080.0, 1735867140.0, 1735867200.0, 1735867260.0, 1735867320.0, 1735867380.0, 1735867440.0, 1735867500.0]",86
11,SHORT,89,91,1735867740.0,1735867860.0,21225.0,21218.5,-26.0,-13.0,25.0,13.0,12.5,6.5,2.0,1.6,3,10,79,"[1735867140.0, 1735867200.0, 1735867260.0, 1735867320.0, 1735867380.0, 1735867440.0, 1735867500.0, 1735867560.0, 1735867620.0, 1735867680.0]",89
12,LONG,91,94,1735867860.0,1735868040.0,21218.5,21230.5,48.0,24.0,27.0,8.0,13.5,4.0,3.0,2.9,4,10,81,"[1735867260.0, 1735867320.0, 1735867380.0, 1735867440.0, 1735867500.0, 1735867560.0, 1735867620.0, 1735867680.0, 1735867740.0, 1735867800.0]",91
13,SHORT,94,100,1735868040.0,1735868400.0,21230.5,21228.75,-7.0,-3.5,9.0,41.0,4.5,20.5,6.0,2.1,7,10,84,"[1735867440.0, 1735867500.0, 1735867560.0, 1735867620.0, 1735867680.0, 1735867740.0, 1735867800.0, 1735867860.0, 1735867920.0, 1735867980.0]",94
14,SHORT,100,105,1735868400.0,1735868700.0,21228.75,21206.25,-90.0,-45.0,53.0,9.0,26.5,4.5,5.0,4.8,6,10,90,"[1735867800.0, 1735867860.0, 1735867920.0, 1735867980.0, 1735868040.0, 1735868100.0, 1735868160.0, 1735868220.0, 1735868280.0, 1735868340.0]",100
15,LONG,105,114,1735868700.0,1735869240.0,21206.25,21230.0,95.0,47.5,46.0,44.0,23.0,22.0,9.0,8.6,10,10,95,"[1735868100.0, 1735868160.0, 1735868220.0, 1735868280.0, 1735868340.0, 1735868400.0, 1735868460.0, 1735868520.0, 1735868580.0, 1735868640.0]",105
16,SHORT,114,118,1735869240.0,1735869480.0,21230.0,21221.5,-34.0,-17.0,4.0,2.0,2.0,1.0,4.0,0.2,5,10,104,"[1735868640.0, 1735868700.0, 1735868760.0, 1735868820.0, 1735868880.0, 1735868940.0, 1735869000.0, 1735869060.0, 1735869120.0, 1735869180.0]",114
17,LONG,118,124,1735869480.0,1735869840.0,21221.5,21235.5,56.0,28.0,17.0,35.0,8.5,17.5,6.0,6.0,7,10,108,"[1735868880.0, 1735868940.0, 1735869000.0, 1735869060.0, 1735869120.0, 1735869180.0, 1735869240.0, 1735869300.0, 1735869360.0, 1735869420.0]",118
18,SHORT,124,128,1735869840.0,1735870080.0,21235.5,21224.25,-45.0,-22.5,29.0,5.0,14.5,2.5,4.0,2.8,5,10,114,"[1735869240.0, 1735869300.0, 1735869360.0, 1735869420.0, 1735869480.0, 1735869540.0, 1735869600.0, 1735869660.0, 1735869720.0, 1735869780.0]",124
19,LONG,128,146,1735870080.0,1735871160.0,21224.25,21248.0,95.0,47.5,73.0,33.0,36.5,16.5,18.0,13.2,19,10,118,"[1735869480.0, 1735869540.0, 1735869600.0, 1735869660.0, 1735869720.0, 1735869780.0, 1735869840.0, 1735869900.0, 1735869960.0, 1735870020.0]",128
20,SHORT,146,152,1735871160.0,1735871520.0,21248.0,21229.25,-75.0,-37.5,57.0,11.0,28.5,5.5,6.0,6.0,7,10,136,"[1735870560.0, 1735870620.0, 1735870680.0, 1735870740.0, 1735870800.0, 1735870860.0, 1735870920.0, 1735870980.0, 1735871040.0, 1735871100.0]",146
21,LONG,152,157,1735871520.0,1735871820.0,21229.25,21235.25,24.0,12.0,5.0,14.0,2.5,7.0,5.0,0.8,6,10,142,"[1735870920.0, 1735870980.0, 1735871040.0, 1735871100.0, 1735871160.0, 1735871220.0, 1735871280.0, 1735871340.0, 1735871400.0, 1735871460.0]",152
22,SHORT,157,162,1735871820.0,1735872120.0,21235.25,21231.0,-17.0,-8.5,3.0,25.0,1.5,12.5,5.0,3.2,6,10,147,"[1735871220.0, 1735871280.0, 1735871340.0, 1735871400.0, 1735871460.0, 1735871520.0, 1735871580.0, 1735871640.0, 1735871700.0, 1735871760.0]",157
23,LONG,162,164,1735872120.0,1735872240.0,21231.0,21236.75,23.0,11.5,4.0,8.0,2.0,4.0,2.0,1.4,3,10,152,"[1735871520.0, 1735871580.0, 1735871640.0, 1735871700.0, 1735871760.0, 1735871820.0, 1735871880.0, 1735871940.0, 1735872000.0, 1735872060.0]",162
24,SHORT,164,172,1735872240.0,1735872720.0,21236.75,21223.0,-55.0,-27.5,30.0,23.0,15.0,11.5,8.0,6.1,9,10,154,"[1735871640.0, 1735871700.0, 1735871760.0, 1735871820.0, 1735871880.0, 1735871940.0, 1735872000.0, 1735872060.0, 1735872120.0, 1735872180.0]",164
25,LONG,172,174,1735872720.0,1735872840.0,21223.0,21233.5,42.0,21.0,2.0,19.0,1.0,9.5,2.0,1.7,3,10,162,"[1735872120.0, 1735872180.0, 1735872240.0, 1735872300.0, 1735872360.0, 1735872420.0, 1735872480.0, 1735872540.0, 1735872600.0, 1735872660.0]",172
26,SHORT,174,175,1735872840.0,1735872900.0,21233.5,21230.0,-14.0,-7.0,1.0,0.0,0.5,0.0,1.0,0.0,2,10,164,"[1735872240.0, 1735872300.0, 1735872360.0, 1735872420.0, 1735872480.0, 1735872540.0, 1735872600.0, 1735872660.0, 1735872720.0, 1735872780.0]",174
27,LONG,175,181,1735872900.0,1735873260.0,21230.0,21249.75,79.0,39.5,50.0,17.0,25.0,8.5,6.0,5.2,7,10,165,"[1735872300.0, 1735872360.0, 1735872420.0, 1735872480.0, 1735872540.0, 1735872600.0, 1735872660.0, 1735872720.0, 1735872780.0, 1735872840.0]",175
28,LONG,181,187,1735873260.0,1735873620.0,21249.75,21257.75,32.0,16.0,41.0,0.0,20.5,0.0,6.0,5.5,7,10,171,"[1735872660.0, 1735872720.0, 1735872780.0, 1735872840.0, 1735872900.0, 1735872960.0, 1735873020.0, 1735873080.0, 1735873140.0, 1735873200.0]",181
29,SHORT,187,201,1735873620.0,1735874460.0,21257.75,21246.25,-46.0,-23.0,12.0,29.0,6.0,14.5,14.0,13.4,15,10,177,"[1735873020.0, 1735873080.0, 1735873140.0, 1735873200.0, 1735873260.0, 1735873320.0, 1735873380.0, 1735873440.0, 1735873500.0, 1735873560.0]",187
30,LONG,201,207,1735874460.0,1735874820.0,21246.25,21256.25,40.0,20.0,43.0,14.0,21.5,7.0,6.0,4.0,7,10,191,"[1735873860.0, 1735873920.0, 1735873980.0, 1735874040.0, 1735874100.0, 1735874160.0, 1735874220.0, 1735874280.0, 1735874340.0, 1735874400.0]",201
31,SHORT,207,211,1735874820.0,1735875060.0,21256.25,21250.75,-22.0,-11.0,28.0,7.0,14.0,3.5,4.0,2.5,5,10,197,"[1735874220.0, 1735874280.0, 1735874340.0, 1735874400.0, 1735874460.0, 1735874520.0, 1735874580.0, 1735874640.0, 1735874700.0, 1735874760.0]",207
32,LONG,211,213,1735875060.0,1735875180.0,21250.75,21255.5,19.0,9.5,13.0,20.0,6.5,10.0,2.0,1.9,3,10,201,"[1735874460.0, 1735874520.0, 1735874580.0, 1735874640.0, 1735874700.0, 1735874760.0, 1735874820.0, 1735874880.0, 1735874940.0, 1735875000.0]",211
33,SHORT,213,215,1735875180.0,1735875300.0,21255.5,21249.75,-23.0,-11.5,13.0,4.0,6.5,2.0,2.0,1.4,3,10,203,"[1735874580.0, 1735874640.0, 1735874700.0, 1735874760.0, 1735874820.0, 1735874880.0, 1735874940.0, 1735875000.0, 1735875060.0, 1735875120.0]",213
34,LONG,215,224,1735875300.0,1735875840.0,21249.75,21255.0,21.0,10.5,0.0,0.0,0.0,0.0,9.0,0.0,10,10,205,"[1735874700.0, 1735874760.0, 1735874820.0, 1735874880.0, 1735874940.0, 1735875000.0, 1735875060.0, 1735875120.0, 1735875180.0, 1735875240.0]",215
35,SHORT,224,225,1735875840.0,1735875900.0,21255.0,21248.75,-25.0,-12.5,1.0,0.0,0.5,0.0,1.0,0.1,2,10,214,"[1735875240.0, 1735875300.0, 1735875360.0, 1735875420.0, 1735875480.0, 1735875540.0, 1735875600.0, 1735875660.0, 1735875720.0, 1735875780.0]",224
36,LONG,225,229,1735875900.0,1735876140.0,21248.75,21254.25,22.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,5,10,215,"[1735875300.0, 1735875360.0, 1735875420.0, 1735875480.0, 1735875540.0, 1735875600.0, 1735875660.0, 1735875720.0, 1735875780.0, 1735875840.0]",225
37,SHORT,229,232,1735876140.0,1735876320.0,21254.25,21246.0,-33.0,-16.5,17.0,8.0,8.5,4.0,3.0,2.1,4,10,219,"[1735875540.0, 1735875600.0, 1735875660.0, 1735875720.0, 1735875780.0, 1735875840.0, 1735875900.0, 1735875960.0, 1735876020.0, 1735876080.0]",229
38,LONG,232,235,1735876320.0,1735876500.0,21246.0,21248.5,10.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,4,10,222,"[1735875720.0, 1735875780.0, 1735875840.0, 1735875900.0, 1735875960.0, 1735876020.0, 1735876080.0, 1735876140.0, 1735876200.0, 1735876260.0]",232
39,SHORT,235,238,1735876500.0,1735876680.0,21248.5,21245.25,-13.0,-6.5,4.0,6.0,2.0,3.0,3.0,1.9,4,10,225,"[1735875900.0, 1735875960.0, 1735876020.0, 1735876080.0, 1735876140.0, 1735876200.0, 1735876260.0, 1735876320.0, 1735876380.0, 1735876440.0]",235
40,LONG,238,240,1735876680.0,1735876800.0,21245.25,21253.75,34.0,17.0,8.0,11.0,4.0,5.5,2.0,2.0,3,10,228,"[1735876080.0, 1735876140.0, 1735876200.0, 1735876260.0, 1735876320.0, 1735876380.0, 1735876440.0, 1735876500.0, 1735876560.0, 1735876620.0]",238
41,SHORT,240,245,1735876800.0,1735877100.0,21253.75,21240.75,-52.0,-26.0,29.0,25.0,14.5,12.5,5.0,4.2,6,10,230,"[1735876200.0, 1735876260.0, 1735876320.0, 1735876380.0, 1735876440.0, 1735876500.0, 1735876560.0, 1735876620.0, 1735876680.0, 1735876740.0]",240
42,SHORT,245,253,1735877100.0,1735877580.0,21240.75,21237.25,-14.0,-7.0,16.0,1.0,8.0,0.5,8.0,0.8,9,10,235,"[1735876500.0, 1735876560.0, 1735876620.0, 1735876680.0, 1735876740.0, 1735876800.0, 1735876860.0, 1735876920.0, 1735876980.0, 1735877040.0]",245
43,LONG,253,260,1735877580.0,1735878000.0,21237.25,21246.75,38.0,19.0,16.0,19.0,8.0,9.5,7.0,6.7,8,10,243,"[1735876980.0, 1735877040.0, 1735877100.0, 1735877160.0, 1735877220.0, 1735877280.0, 1735877340.0, 1735877400.0, 1735877460.0, 1735877520.0]",253
44,SHORT,260,280,1735878000.0,1735879260.0,21246.75,21231.0,-63.0,-31.5,42.0,13.0,21.0,6.5,21.0,18.9,21,10,250,"[1735877400.0, 1735877460.0, 1735877520.0, 1735877580.0, 1735877640.0, 1735877700.0, 1735877760.0, 1735877820.0, 1735877880.0, 1735877940.0]",260
45,LONG,280,291,1735879260.0,1735879920.0,21231.0,21239.75,35.0,17.5,18.0,17.0,9.0,8.5,11.0,9.5,12,10,270,"[1735878660.0, 1735878720.0, 1735878780.0, 1735878840.0, 1735878900.0, 1735878960.0, 1735879020.0, 1735879080.0, 1735879140.0, 1735879200.0]",280
46,SHORT,291,301,1735879920.0,1735880520.0,21239.75,21215.25,-98.0,-49.0,66.0,4.0,33.0,2.0,10.0,9.2,11,10,281,"[1735879320.0, 1735879380.0, 1735879440.0, 1735879500.0, 1735879560.0, 1735879620.0, 1735879680.0, 1735879740.0, 1735879800.0, 1735879860.0]",291
47,LONG,301,311,1735880520.0,1735881120.0,21215.25,21223.75,34.0,17.0,4.0,0.0,2.0,0.0,10.0,0.1,11,10,291,"[1735879920.0, 1735879980.0, 1735880040.0, 1735880100.0, 1735880160.0, 1735880220.0, 1735880280.0, 1735880340.0, 1735880400.0, 1735880460.0]",301
48,SHORT,311,317,1735881120.0,1735881480.0,21223.75,21211.25,-50.0,-25.0,15.0,8.0,7.5,4.0,6.0,5.2,7,10,301,"[1735880520.0, 1735880580.0, 1735880640.0, 1735880700.0, 1735880760.0, 1735880820.0, 1735880880.0, 1735880940.0, 1735881000.0, 1735881060.0]",311
49,SHORT,317,320,1735881480.0,1735881660.0,21211.25,21208.75,-10.0,-5.0,31.0,0.0,15.5,0.0,3.0,0.5,4,10,307,"[1735880880.0, 1735880940.0, 1735881000.0, 1735881060.0, 1735881120.0, 1735881180.0, 1735881240.0, 1735881300.0, 1735881360.0, 1735881420.0]",317
50,LONG,320,339,1735881660.0,1735882800.0,21208.75,21229.25,82.0,41.0,70.0,18.0,35.0,9.0,19.0,18.7,20,10,310,"[1735881060.0, 1735881120.0, 1735881180.0, 1735881240.0, 1735881300.0, 1735881360.0, 1735881420.0, 1735881480.0, 1735881540.0, 1735881600.0]",320
51,SHORT,339,342,1735882800.0,1735882980.0,21229.25,21224.25,-20.0,-10.0,24.0,2.0,12.0,1.0,3.0,2.2,4,10,329,"[1735882200.0, 1735882260.0, 1735882320.0, 1735882380.0, 1735882440.0, 1735882500.0, 1735882560.0, 1735882620.0, 1735882680.0, 1735882740.0]",339
52,LONG,342,346,1735882980.0,1735883220.0,21224.25,21229.75,22.0,11.0,15.0,6.0,7.5,3.0,4.0,1.5,5,10,332,"[1735882380.0, 1735882440.0, 1735882500.0, 1735882560.0, 1735882620.0, 1735882680.0, 1735882740.0, 1735882800.0, 1735882860.0, 1735882920.0]",342
53,SHORT,346,353,1735883220.0,1735883640.0,21229.75,21219.25,-42.0,-21.0,41.0,12.0,20.5,6.0,7.0,6.7,8,10,336,"[1735882620.0, 1735882680.0, 1735882740.0, 1735882800.0, 1735882860.0, 1735882920.0, 1735882980.0, 1735883040.0, 1735883100.0, 1735883160.0]",346
54,LONG,353,360,1735883640.0,1735884060.0,21219.25,21227.75,34.0,17.0,30.0,12.0,15.0,6.0,7.0,5.8,8,10,343,"[1735883040.0, 1735883100.0, 1735883160.0, 1735883220.0, 1735883280.0, 1735883340.0, 1735883400.0, 1735883460.0, 1735883520.0, 1735883580.0]",353
55,SHORT,360,370,1735884060.0,1735884660.0,21227.75,21219.0,-35.0,-17.5,22.0,7.0,11.0,3.5,10.0,6.0,11,10,350,"[1735883460.0, 1735883520.0, 1735883580.0, 1735883640.0, 1735883700.0, 1735883760.0, 1735883820.0, 1735883880.0, 1735883940.0, 1735884000.0]",360
56,LONG,370,379,1735884660.0,1735885200.0,21219.0,21238.25,77.0,38.5,59.0,18.0,29.5,9.0,9.0,6.8,10,10,360,"[1735884060.0, 1735884120.0, 1735884180.0, 1735884240.0, 1735884300.0, 1735884360.0, 1735884420.0, 1735884480.0, 1735884540.0, 1735884600.0]",370
57,LONG,379,392,1735885200.0,1735885980.0,21238.25,21254.5,65.0,32.5,73.0,20.0,36.5,10.0,13.0,12.7,14,10,369,"[1735884600.0, 1735884660.0, 1735884720.0, 1735884780.0, 1735884840.0, 1735884900.0, 1735884960.0, 1735885020.0, 1735885080.0, 1735885140.0]",379
58,SHORT,392,408,1735885980.0,1735886940.0,21254.5,21239.25,-61.0,-30.5,49.0,5.0,24.5,2.5,16.0,4.1,17,10,382,"[1735885380.0, 1735885440.0, 1735885500.0, 1735885560.0, 1735885620.0, 1735885680.0, 1735885740.0, 1735885800.0, 1735885860.0, 1735885920.0]",392
59,LONG,408,415,1735886940.0,1735887360.0,21239.25,21246.5,29.0,14.5,19.0,21.0,9.5,10.5,7.0,3.7,8,10,398,"[1735886340.0, 1735886400.0, 1735886460.0, 1735886520.0, 1735886580.0, 1735886640.0, 1735886700.0, 1735886760.0, 1735886820.0, 1735886880.0]",408
60,SHORT,415,424,1735887360.0,1735887900.0,21246.5,21225.5,-84.0,-42.0,62.0,10.0,31.0,5.0,9.0,8.8,10,10,405,"[1735886760.0, 1735886820.0, 1735886880.0, 1735886940.0, 1735887000.0, 1735887060.0, 1735887120.0, 1735887180.0, 1735887240.0, 1735887300.0]",415
61,SHORT,424,431,1735887900.0,1735888320.0,21225.5,21215.75,-39.0,-19.5,53.0,12.0,26.5,6.0,7.0,6.0,8,10,414,"[1735887300.0, 1735887360.0, 1735887420.0, 1735887480.0, 1735887540.0, 1735887600.0, 1735887660.0, 1735887720.0, 1735887780.0, 1735887840.0]",424
62,LONG,431,437,1735888320.0,1735888680.0,21215.75,21241.0,101.0,50.5,70.0,32.0,35.0,16.0,6.0,5.7,7,10,421,"[1735887720.0, 1735887780.0, 1735887840.0, 1735887900.0, 1735887960.0, 1735888020.0, 1735888080.0, 1735888140.0, 1735888200.0, 1735888260.0]",431
63,SHORT,437,440,1735888680.0,1735888860.0,21241.0,21224.5,-66.0,-33.0,27.0,28.0,13.5,14.0,3.0,3.0,4,10,427,"[1735888080.0, 1735888140.0, 1735888200.0, 1735888260.0, 1735888320.0, 1735888380.0, 1735888440.0, 1735888500.0, 1735888560.0, 1735888620.0]",437
64,LONG,440,444,1735888860.0,1735889100.0,21224.5,21233.25,35.0,17.5,7.0,23.0,3.5,11.5,4.0,3.3,5,10,430,"[1735888260.0, 1735888320.0, 1735888380.0, 1735888440.0, 1735888500.0, 1735888560.0, 1735888620.0, 1735888680.0, 1735888740.0, 1735888800.0]",440
65,SHORT,444,446,1735889100.0,1735889220.0,21233.25,21226.0,-29.0,-14.5,4.0,0.0,2.0,0.0,2.0,0.2,3,10,434,"[1735888500.0, 1735888560.0, 1735888620.0, 1735888680.0, 1735888740.0, 1735888800.0, 1735888860.0, 1735888920.0, 1735888980.0, 1735889040.0]",444
66,LONG,446,448,1735889220.0,1735889340.0,21226.0,21234.0,32.0,16.0,6.0,26.0,3.0,13.0,2.0,1.3,3,10,436,"[1735888620.0, 1735888680.0, 1735888740.0, 1735888800.0, 1735888860.0, 1735888920.0, 1735888980.0, 1735889040.0, 1735889100.0, 1735889160.0]",446
67,SHORT,448,449,1735889340.0,1735889400.0,21234.0,21229.5,-18.0,-9.0,10.0,0.0,5.0,0.0,1.0,0.2,2,10,438,"[1735888740.0, 1735888800.0, 1735888860.0, 1735888920.0, 1735888980.0, 1735889040.0, 1735889100.0, 1735889160.0, 1735889220.0, 1735889280.0]",448
68,LONG,449,451,1735889400.0,1735889520.0,21229.5,21239.25,39.0,19.5,14.0,18.0,7.0,9.0,2.0,1.6,3,10,439,"[1735888800.0, 1735888860.0, 1735888920.0, 1735888980.0, 1735889040.0, 1735889100.0, 1735889160.0, 1735889220.0, 1735889280.0, 1735889340.0]",449
69,SHORT,451,460,1735889520.0,1735890060.0,21239.25,21233.25,-24.0,-12.0,6.0,1.0,3.0,0.5,9.0,0.2,10,10,441,"[1735888920.0, 1735888980.0, 1735889040.0, 1735889100.0, 1735889160.0, 1735889220.0, 1735889280.0, 1735889340.0, 1735889400.0, 1735889460.0]",451
70,LONG,460,462,1735890060.0,1735890180.0,21233.25,21241.75,34.0,17.0,9.0,15.0,4.5,7.5,2.0,1.6,3,10,450,"[1735889460.0, 1735889520.0, 1735889580.0, 1735889640.0, 1735889700.0, 1735889760.0, 1735889820.0, 1735889880.0, 1735889940.0, 1735890000.0]",460
71,LONG,462,470,1735890180.0,1735890660.0,21241.75,21250.5,35.0,17.5,43.0,0.0,21.5,0.0,8.0,7.8,9,10,452,"[1735889580.0, 1735889640.0, 1735889700.0, 1735889760.0, 1735889820.0, 1735889880.0, 1735889940.0, 1735890000.0, 1735890060.0, 1735890120.0]",462
72,SHORT,470,475,1735890660.0,1735890960.0,21250.5,21243.0,-30.0,-15.0,11.0,19.0,5.5,9.5,5.0,3.9,6,10,460,"[1735890060.0, 1735890120.0, 1735890180.0, 1735890240.0, 1735890300.0, 1735890360.0, 1735890420.0, 1735890480.0, 1735890540.0, 1735890600.0]",470
73,LONG,475,481,1735890960.0,1735891320.0,21243.0,21266.25,93.0,46.5,80.0,20.0,40.0,10.0,6.0,4.7,7,10,465,"[1735890360.0, 1735890420.0, 1735890480.0, 1735890540.0, 1735890600.0, 1735890660.0, 1735890720.0, 1735890780.0, 1735890840.0, 1735890900.0]",475
74,SHORT,481,483,1735891320.0,1735891440.0,21266.25,21257.5,-35.0,-17.5,44.0,26.0,22.0,13.0,2.0,1.8,3,10,471,"[1735890720.0, 1735890780.0, 1735890840.0, 1735890900.0, 1735890960.0, 1735891020.0, 1735891080.0, 1735891140.0, 1735891200.0, 1735891260.0]",481
75,LONG,483,494,1735891440.0,1735892100.0,21257.5,21271.25,55.0,27.5,63.0,54.0,31.5,27.0,11.0,10.8,12,10,473,"[1735890840.0, 1735890900.0, 1735890960.0, 1735891020.0, 1735891080.0, 1735891140.0, 1735891200.0, 1735891260.0, 1735891320.0, 1735891380.0]",483
76,SHORT,494,512,1735892100.0,1735893180.0,21271.25,21219.5,-207.0,-103.5,190.0,12.0,95.0,6.0,18.0,15.4,19,10,484,"[1735891500.0, 1735891560.0, 1735891620.0, 1735891680.0, 1735891740.0, 1735891800.0, 1735891860.0, 1735891920.0, 1735891980.0, 1735892040.0]",494
77,LONG,512,513,1735893180.0,1735893240.0,21219.5,21230.25,43.0,21.5,5.0,8.0,2.5,4.0,1.0,0.3,2,10,502,"[1735892580.0, 1735892640.0, 1735892700.0, 1735892760.0, 1735892820.0, 1735892880.0, 1735892940.0, 1735893000.0, 1735893060.0, 1735893120.0]",512
78,SHORT,513,516,1735893240.0,1735893420.0,21230.25,21220.0,-41.0,-20.5,25.0,0.0,12.5,0.0,3.0,0.2,4,10,503,"[1735892640.0, 1735892700.0, 1735892760.0, 1735892820.0, 1735892880.0, 1735892940.0, 1735893000.0, 1735893060.0, 1735893120.0, 1735893180.0]",513
79,LONG,516,520,1735893420.0,1735893660.0,21220.0,21228.5,34.0,17.0,7.0,0.0,3.5,0.0,4.0,0.0,5,10,506,"[1735892820.0, 1735892880.0, 1735892940.0, 1735893000.0, 1735893060.0, 1735893120.0, 1735893180.0, 1735893240.0, 1735893300.0, 1735893360.0]",516
80,SHORT,520,521,1735893660.0,1735893720.0,21228.5,21215.0,-54.0,-27.0,0.0,0.0,0.0,0.0,1.0,0.0,2,10,510,"[1735893060.0, 1735893120.0, 1735893180.0, 1735893240.0, 1735893300.0, 1735893360.0, 1735893420.0, 1735893480.0, 1735893540.0, 1735893600.0]",520
81,LONG,521,527,1735893720.0,1735894080.0,21215.0,21227.75,51.0,25.5,7.0,0.0,3.5,0.0,6.0,0.3,7,10,511,"[1735893120.0, 1735893180.0, 1735893240.0, 1735893300.0, 1735893360.0, 1735893420.0, 1735893480.0, 1735893540.0, 1735893600.0, 1735893660.0]",521
82,LONG,527,549,1735894080.0,1735895400.0,21227.75,21266.25,154.0,77.0,165.0,34.0,82.5,17.0,22.0,21.2,23,10,517,"[1735893480.0, 1735893540.0, 1735893600.0, 1735893660.0, 1735893720.0, 1735893780.0, 1735893840.0, 1735893900.0, 1735893960.0, 1735894020.0]",527
83,LONG,549,555,1735895400.0,1735895760.0,21266.25,21279.0,51.0,25.5,43.0,15.0,21.5,7.5,6.0,5.8,7,10,539,"[1735894800.0, 1735894860.0, 1735894920.0, 1735894980.0, 1735895040.0, 1735895100.0, 1735895160.0, 1735895220.0, 1735895280.0, 1735895340.0]",549
84,LONG,555,563,1735895760.0,1735896240.0,21279.0,21286.75,31.0,15.5,52.0,42.0,26.0,21.0,8.0,7.7,9,10,545,"[1735895160.0, 1735895220.0, 1735895280.0, 1735895340.0, 1735895400.0, 1735895460.0, 1735895520.0, 1735895580.0, 1735895640.0, 1735895700.0]",555
85,SHORT,563,570,1735896240.0,1735896660.0,21286.75,21266.0,-83.0,-41.5,48.0,18.0,24.0,9.0,7.0,6.1,8,10,553,"[1735895640.0, 1735895700.0, 1735895760.0, 1735895820.0, 1735895880.0, 1735895940.0, 1735896000.0, 1735896060.0, 1735896120.0, 1735896180.0]",563
86,LONG,570,582,1735896660.0,1735897380.0,21266.0,21280.5,58.0,29.0,29.0,58.0,14.5,29.0,12.0,11.3,13,10,560,"[1735896060.0, 1735896120.0, 1735896180.0, 1735896240.0, 1735896300.0, 1735896360.0, 1735896420.0, 1735896480.0, 1735896540.0, 1735896600.0]",570
87,SHORT,582,591,1735897380.0,1735897920.0,21280.5,21270.75,-39.0,-19.5,43.0,11.0,21.5,5.5,9.0,8.8,10,10,572,"[1735896780.0, 1735896840.0, 1735896900.0, 1735896960.0, 1735897020.0, 1735897080.0, 1735897140.0, 1735897200.0, 1735897260.0, 1735897320.0]",582
