NinjaScript File,Error,Code,Line,Column,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendRawJson(string)' and 'BayesianBridge.SendRawJson(string)',CS0121,469,25,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.GetVal(Dictionary<string string> string string)' and 'BayesianBridge.GetVal(Dictionary<string string> string string)',CS0121,480,30,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.GetVal(Dictionary<string string> string string)' and 'BayesianBridge.GetVal(Dictionary<string string> string string)',CS0121,481,30,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.GetIntVal(Dictionary<string string> string int)' and 'BayesianBridge.GetIntVal(Dictionary<string string> string int)',CS0121,482,30,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,488,31,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,501,17,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.FindPosition()' and 'BayesianBridge.FindPosition()',CS0121,515,32,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,521,40,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,534,21,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.GetVal(Dictionary<string string> string string)' and 'BayesianBridge.GetVal(Dictionary<string string> string string)',CS0121,549,30,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,554,41,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,560,25,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._stream' and 'BayesianBridge._stream',CS0229,576,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._client' and 'BayesianBridge._client',CS0229,576,36,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._client' and 'BayesianBridge._client',CS0229,576,56,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._sendLock' and 'BayesianBridge._sendLock',CS0229,588,23,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._stream' and 'BayesianBridge._stream',CS0229,590,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._stream' and 'BayesianBridge._stream',CS0229,591,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._stream' and 'BayesianBridge._stream',CS0229,592,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,603,17,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.FindPosition()' and 'BayesianBridge.FindPosition()',CS0121,607,32,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,621,23,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,621,41,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,622,23,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,622,47,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,623,23,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,624,23,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,624,46,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendRawJson(string)' and 'BayesianBridge.SendRawJson(string)',CS0121,626,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barLock' and 'BayesianBridge._barLock',CS0229,637,19,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._allBars' and 'BayesianBridge._allBars',CS0229,639,45,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendRawJson(string)' and 'BayesianBridge.SendRawJson(string)',CS0121,643,17,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,647,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,647,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,648,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendRawJson(string)' and 'BayesianBridge.SendRawJson(string)',CS0121,650,13,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,657,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,661,41,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,662,41,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,663,41,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,666,23,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,666,41,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,667,23,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,667,47,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,668,23,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,668,49,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,669,23,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,669,51,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,670,23,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,670,52,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,671,23,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.ToUnixSeconds(DateTime)' and 'BayesianBridge.ToUnixSeconds(DateTime)',CS0121,671,50,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendRawJson(string)' and 'BayesianBridge.SendRawJson(string)',CS0121,673,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,685,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,686,36,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.ReadJsonValue(string ref int)' and 'BayesianBridge.ReadJsonValue(string ref int)',CS0121,731,30,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.ReadJsonValue(string ref int)' and 'BayesianBridge.ReadJsonValue(string ref int)',CS0121,739,30,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.Port' and 'BayesianBridge.Port',CS0229,102,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.AccountName' and 'BayesianBridge.AccountName',CS0229,103,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.DomLevels' and 'BayesianBridge.DomLevels',CS0229,104,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barLabels' and 'BayesianBridge._barLabels',CS0229,125,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barPeriodSecs' and 'BayesianBridge._barPeriodSecs',CS0229,129,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.AccountName' and 'BayesianBridge.AccountName',CS0229,141,42,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,143,29,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,149,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.AccountName' and 'BayesianBridge.AccountName',CS0229,151,57,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,156,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,157,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,158,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._running' and 'BayesianBridge._running',CS0229,161,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._serverThread' and 'BayesianBridge._serverThread',CS0229,162,17,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.ServerLoop()' and 'BayesianBridge.ServerLoop()',CS0121,162,44,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._serverThread' and 'BayesianBridge._serverThread',CS0229,163,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.Port' and 'BayesianBridge.Port',CS0229,165,60,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.AccountName' and 'BayesianBridge.AccountName',CS0229,165,82,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._running' and 'BayesianBridge._running',CS0229,169,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,171,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,173,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,174,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,175,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._client' and 'BayesianBridge._client',CS0229,178,23,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._listener' and 'BayesianBridge._listener',CS0229,179,23,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barLabels' and 'BayesianBridge._barLabels',CS0229,190,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barLabels' and 'BayesianBridge._barLabels',CS0229,190,46,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,197,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,197,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,198,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,198,43,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,199,19,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barLabels' and 'BayesianBridge._barLabels',CS0229,199,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,200,19,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barPeriodSecs' and 'BayesianBridge._barPeriodSecs',CS0229,200,45,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,201,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.ToUnixSeconds(DateTime)' and 'BayesianBridge.ToUnixSeconds(DateTime)',CS0121,201,46,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,202,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,202,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,203,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,203,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,204,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,204,36,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,205,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,205,38,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,206,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,206,39,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barLock' and 'BayesianBridge._barLock',CS0229,213,23,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._allBars' and 'BayesianBridge._allBars',CS0229,215,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._allBars' and 'BayesianBridge._allBars',CS0229,216,25,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.MAX_HISTORY' and 'BayesianBridge.MAX_HISTORY',CS0229,216,42,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._allBars' and 'BayesianBridge._allBars',CS0229,217,25,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._allBars' and 'BayesianBridge._allBars',CS0229,217,49,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.MAX_HISTORY' and 'BayesianBridge.MAX_HISTORY',CS0229,217,66,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendRawJson(string)' and 'BayesianBridge.SendRawJson(string)',CS0121,220,13,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.DomLevels' and 'BayesianBridge.DomLevels',CS0229,227,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestBid' and 'BayesianBridge._bestBid',CS0229,234,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestBidSize' and 'BayesianBridge._bestBidSize',CS0229,235,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestAsk' and 'BayesianBridge._bestAsk',CS0229,239,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestAskSize' and 'BayesianBridge._bestAskSize',CS0229,240,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._lastDomSend' and 'BayesianBridge._lastDomSend',CS0229,245,33,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.DOM_THROTTLE_MS' and 'BayesianBridge.DOM_THROTTLE_MS',CS0229,245,67,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._lastDomSend' and 'BayesianBridge._lastDomSend',CS0229,247,13,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestBid' and 'BayesianBridge._bestBid',CS0229,249,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestAsk' and 'BayesianBridge._bestAsk',CS0229,249,34,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestBidSize' and 'BayesianBridge._bestBidSize',CS0229,251,33,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestAskSize' and 'BayesianBridge._bestAskSize',CS0229,251,48,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestBidSize' and 'BayesianBridge._bestBidSize',CS0229,252,28,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestAskSize' and 'BayesianBridge._bestAskSize',CS0229,252,43,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestBidSize' and 'BayesianBridge._bestBidSize',CS0229,252,60,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestAskSize' and 'BayesianBridge._bestAskSize',CS0229,252,75,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,256,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,256,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,257,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,257,43,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,258,19,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestBid' and 'BayesianBridge._bestBid',CS0229,258,40,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,259,19,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestBidSize' and 'BayesianBridge._bestBidSize',CS0229,259,41,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,260,19,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestAsk' and 'BayesianBridge._bestAsk',CS0229,260,40,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,261,19,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestAskSize' and 'BayesianBridge._bestAskSize',CS0229,261,41,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,262,19,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestAsk' and 'BayesianBridge._bestAsk',CS0229,262,43,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._bestBid' and 'BayesianBridge._bestBid',CS0229,262,54,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,263,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,263,42,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,264,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.ToUnixSeconds(DateTime)' and 'BayesianBridge.ToUnixSeconds(DateTime)',CS0121,264,46,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendRawJson(string)' and 'BayesianBridge.SendRawJson(string)',CS0121,266,13,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,274,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,274,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,275,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,275,41,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,276,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,276,39,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendRawJson(string)' and 'BayesianBridge.SendRawJson(string)',CS0121,278,13,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,287,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,287,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,288,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,288,41,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,289,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,289,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,290,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,291,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,291,43,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,292,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.ToUnixSeconds(DateTime)' and 'BayesianBridge.ToUnixSeconds(DateTime)',CS0121,292,46,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,293,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,293,43,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendRawJson(string)' and 'BayesianBridge.SendRawJson(string)',CS0121,295,13,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,309,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,309,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,310,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,310,43,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,311,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,312,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,312,42,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,313,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,313,47,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendRawJson(string)' and 'BayesianBridge.SendRawJson(string)',CS0121,316,13,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendAccountUpdate()' and 'BayesianBridge.SendAccountUpdate()',CS0121,319,13,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._listener' and 'BayesianBridge._listener',CS0229,328,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.Port' and 'BayesianBridge.Port',CS0229,328,65,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._listener' and 'BayesianBridge._listener',CS0229,329,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.Port' and 'BayesianBridge.Port',CS0229,330,67,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._running' and 'BayesianBridge._running',CS0229,332,24,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._listener' and 'BayesianBridge._listener',CS0229,334,26,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._client' and 'BayesianBridge._client',CS0229,340,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._listener' and 'BayesianBridge._listener',CS0229,340,31,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._stream' and 'BayesianBridge._stream',CS0229,341,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._client' and 'BayesianBridge._client',CS0229,341,31,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,346,27,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,346,45,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,347,27,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.AccountName' and 'BayesianBridge.AccountName',CS0229,347,50,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendRawJson(string)' and 'BayesianBridge.SendRawJson(string)',CS0121,349,21,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendPositionSnapshot()' and 'BayesianBridge.SendPositionSnapshot()',CS0121,351,21,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.SendAccountUpdate()' and 'BayesianBridge.SendAccountUpdate()',CS0121,352,21,
